,biasX,biasY,CRIMX,CRIMY,ZNX,ZNY,INDUSX,INDUSY,CHASX,CHASY,NOXX,NOXY,RMX,RMY,AGEX,AGEY,DISX,DISY,RADX,RADY,TAXX,TAXY,PTRATIOX,PTRATIOY,BX,BY,LSTATX,LSTATY
0,0.926635387699,16.8003169122,0.17423838097,-3.46185210959,-0.603294370129,-3.28993058453,-0.0212317871763,-3.318670066,-0.373203753681,-3.51284211013,-0.281883580014,-3.02383016057,-0.0294895939738,-3.3807754643,0.739547011469,-3.20058765409,0.483577831356,-3.88790971453,-0.028175561138,-3.46899264588,-0.120611441226,-3.27894329355,-0.178460715463,-3.06645530903,-0.00965867607095,-3.30814314601,-0.203307944505,-2.76097249378
1,0.953615068891,24.6078379029,0.262012747638,3.78113863951,-0.774591498294,4.03608689673,0.17290981542,3.89290449461,-0.407517092744,3.77701591647,-0.0928742284257,4.10771148037,0.722253089447,6.65256245815,0.178886787452,4.01871304005,0.384616261054,3.58085796597,-0.146948805692,3.85130053129,-0.103921973382,4.02739013361,0.066822685575,3.85817876225,-0.091412743764,3.93483114287,-0.312445218787,5.06160391468
2,0.955321580043,24.7541096409,0.278088322449,3.85055330296,-1.03612250533,4.14817809785,-0.371882042302,4.23982127915,-0.230007214146,3.95218148565,0.282161364173,3.87537905629,0.427324754954,5.6881547087,-0.0561424645352,4.06341931826,0.546410347482,3.37325518688,0.00569340211375,4.05541135924,-0.131674957522,4.12375033217,0.464859702375,3.24881544426,-0.150291357492,3.97260397575,-0.418834053916,5.44116521585
3,0.941114587389,27.4993475265,0.231535216218,6.88398600559,-0.997157146506,7.14263147495,-0.398612488665,7.25055068763,-0.256270869969,6.93636895702,0.209305911575,6.94189540485,0.795632871563,9.92210193844,0.14696441222,7.09611162534,0.647477324158,6.24819428872,-0.00930924159733,7.03711760067,-0.138784226136,7.1235985349,0.450900934955,6.26899832508,-0.065538760232,7.026471525,-0.0626649356216,7.37606145625
4,0.934620616621,23.373227065,0.240403599644,2.87410463346,-0.9110994652,3.13034898402,-0.504206988431,3.30186395503,-0.205399149684,2.96122522374,0.153660316249,2.98975496299,-0.251941691984,2.28809007036,0.398794681583,3.13083101457,0.614443531458,2.26240433824,0.0945210069618,3.04668470892,-0.139717680725,3.11953242784,0.308864924371,2.48902931678,-0.165688337223,2.96625739489,-0.553354009492,4.69889115743
6,0.974006439895,27.718776477,-0.171954926811,6.83274275542,-0.382062371574,6.76180658972,-0.102482383469,6.75166037459,-0.51085161942,6.44379905451,-0.190827555909,6.86711365405,0.162937975787,7.07343337494,1.17492121863,6.90144606726,1.17208628563,5.19600663892,0.223264192089,6.68629833385,0.0365120137739,6.6751504886,-1.58123895483,9.32134821654,0.418937252067,6.98966205765,0.937215275778,3.74971808845
7,0.965337657836,24.2626272955,-0.38560789207,3.73421927634,-0.342485715878,3.50407867129,-0.254332402968,3.56510286059,-0.438750091557,3.22213815755,-0.30973644283,3.73131316859,0.222399682434,3.6852043006,1.05855553587,3.62476234,1.22936231847,1.79127032004,0.271118705036,3.38764460007,-0.00970585949851,3.43092393381,-1.864425498,6.50520720575,0.524196772325,3.78621212091,2.07470294713,-3.01875983003
8,0.985229583998,20.266191687,-0.116239125977,-0.881402825968,-0.55193708498,-0.8882755413,-0.0168310086405,-0.963729512274,-0.458641087212,-1.20072207301,-0.0405089075586,-0.940704096328,-0.172230655487,-1.75376116516,0.993056096226,-0.802003000627,1.35622619977,-2.74566348216,0.235375908117,-0.966797112818,0.0400547327892,-0.996417034077,-1.59946165491,1.66953895958,0.256987294425,-0.797074102551,0.626420648748,-3.00420285493
10,0.99572046552,18.5229986191,-0.0411025976861,-2.86720327923,-0.499864478999,-2.82678006908,-0.00946641126729,-2.8943450287,-0.47636480883,-3.1387166393,-0.0245637938693,-2.89062992097,-0.465262781857,-4.58309750778,0.952441607858,-2.73871148912,1.14932043956,-4.38195045937,0.24537645784,-2.87677426004,0.0579457361925,-2.93178446528,-1.52481319361,-0.372782212152,0.278064118376,-2.70051425485,0.128946533613,-3.42894401639
13,0.894256908893,17.8603505105,0.0441625932474,-1.63331585187,-0.169656875739,-1.61558045255,-0.330006131373,-1.43263830171,-0.16259608819,-1.67370025427,0.287913241718,-1.81375652911,-0.235637318973,-2.38037018199,0.710546082124,-1.47804788121,0.356710823275,-2.03789837749,-0.286937507181,-1.82585380335,-0.153579094133,-1.53173248871,1.23541451424,-3.6822835669,-0.114621517097,-1.64250728905,-0.521978343406,-0.124388808979
